ticker,close_price,st73_value,st72_value,DMA_200,DMA_10,datee
SOLARINDS,13573.0,14329.8,14024.2,13276.16,13836.2,20251109
LODHA,1226.6,1152.9,1177.2,1253.83,1203.45,20251109
CIPLA,1505.7,1581.8,1554.8,1495.82,1529.99,20251109
TORNTPHARM,3580.0,3702.6,3638.0,3349.25,3585.28,20251109
CUMMINSIND,4291.8,4127.7,4209.7,3350.33,4330.45,20251109
GAIL,180.47,172.9,176.7,177.77,181.55,20251109
ADANIENSOL,960.6,904.8,934.5,841.25,964.04,20251109
INDIANB,873.95,817.8,835.9,619.92,861.17,20251109
UNIONBANK,153.3,139.8,143.7,129.33,148.66,20251109
HDFCAMC,5432.5,5704.5,5580.9,4818.6,5437.75,20251109
POLYCAB,7542.0,7299.2,7439.4,6341.72,7634.1,20251109
CGPOWER,733.25,770.5,755.1,670.42,737.73,20251109
TATACONSUM,1167.2,1113.0,1134.8,1077.14,1177.12,20251109
ENRIN,3228.2,3330.0,3252.4,nan,3178.5,20251109
GODREJCP,1121.8,1080.4,1106.9,1172.16,1127.44,20251109
LGEINDIA,1609.4,1580.4,1607.8,nan,1642.29,20251109
