rank,ticker,st_config,pct_return,total_pnl,total_trades,winning_trades,win_pct,capital_used,final_capital
333,CGPOWER,ST73,43.21,4321.5,9,5,55.6,10000,14321.5
334,NITINSPIN,ST73,42.66,4265.56,8,4,50.0,10000,14265.56
335,KINGFA,ST73,42.49,4249.0,8,5,62.5,10000,14249.0
336,INDIANB,ST73,42.03,4203.27,8,4,50.0,10000,14203.27
337,SKIPPER,ST73,41.95,4195.2,10,3,30.0,10000,14195.2
338,IPCALAB,ST72,41.77,4176.85,15,8,53.3,10000,14176.85
339,ANANTRAJ,ST72,41.77,4176.94,20,8,40.0,10000,14176.94
340,TECHM,ST72,41.41,4140.78,15,6,40.0,10000,14140.78
341,TEJASNET,ST73,41.35,4134.79,9,3,33.3,10000,14134.79
342,ADANIGREEN,ST72,41.35,4134.9,17,5,29.4,10000,14134.9
343,JMFINANCIL,ST72,40.83,4083.2,17,6,35.3,10000,14083.2
344,LODHA,ST72,40.65,4065.18,20,8,40.0,10000,14065.18
345,CARBORUNIV,ST73,40.53,4053.17,6,2,33.3,10000,14053.17
346,SUNDRMFAST,ST73,40.46,4046.47,5,3,60.0,10000,14046.47
347,EDELWEISS,ST72,40.31,4030.67,18,9,50.0,10000,14030.67
348,BLUESTARCO,ST72,40.25,4024.61,19,11,57.9,10000,14024.61
349,MUTHOOTFIN,ST72,39.94,3994.07,18,9,50.0,10000,13994.07
350,DHANUKA,ST72,39.91,3991.33,13,5,38.5,10000,13991.33
351,NAUKRI,ST72,39.86,3985.86,16,6,37.5,10000,13985.86
352,WHIRLPOOL,ST72,39.86,3985.65,14,7,50.0,10000,13985.65
353,RAINBOW,ST73,39.78,3977.71,5,4,80.0,10000,13977.71
354,KSCL,ST72,39.53,3953.01,14,4,28.6,10000,13953.01
355,TATACONSUM,ST72,39.51,3951.45,10,6,60.0,10000,13951.45
356,INDHOTEL,ST73,39.49,3949.06,9,4,44.4,10000,13949.06
357,SUNPHARMA,ST72,39.15,3914.77,15,7,46.7,10000,13914.77
358,ESABINDIA,ST73,39.06,3906.46,7,6,85.7,10000,13906.46
359,IDFCFIRSTB,ST73,39.02,3902.39,7,3,42.9,10000,13902.39
